"jatosStudyResultId","MMM_S_Index","Age","Gender","total_correct","Start.time","Duration"
517933,3,32,"female",45,"19/05/2024, 12:14:12","00:08:19"
517972,2.44444444444444,23,"male",42,"19/05/2024, 14:24:43","00:05:07"
518133,2.33333333333333,23,"female",50,"19/05/2024, 21:47:02","00:03:57"
525919,2,26,"female",45,"28/05/2024, 17:12:42","00:05:10"
525937,2.22222222222222,30,"male",36,"28/05/2024, 17:59:31","00:04:00"
525986,3.11111111111111,29,"female",45,"28/05/2024, 22:55:53","00:05:41"
527062,2.33333333333333,30,"female",39,"29/05/2024, 14:29:37","00:05:52"
527063,2.44444444444444,25,"female",38,"29/05/2024, 14:35:16","00:04:32"
527211,2.66666666666667,24,"female",3,"29/05/2024, 18:13:57","00:04:15"
527268,1.33333333333333,27,"male",6,"29/05/2024, 20:35:31","00:03:18"
527735,1.88888888888889,25,"male",49,"30/05/2024, 11:25:47","00:03:46"
527742,2.66666666666667,26,"female",50,"30/05/2024, 11:44:04","00:03:51"
527756,3,39,"female",47,"30/05/2024, 12:05:11","00:04:18"
527771,1.44444444444444,35,"female",42,"30/05/2024, 12:38:28","00:06:18"
527790,1.33333333333333,31,"male",50,"30/05/2024, 13:19:08","00:05:24"
528118,3.33333333333333,28,"male",50,"30/05/2024, 22:10:51","00:05:50"
529542,1.33333333333333,67,"female",29,"02/06/2024, 22:20:26","00:11:44"
530269,1.88888888888889,28,"female",44,"03/06/2024, 15:06:10","00:04:46"
530439,2.66666666666667,30,"male",36,"03/06/2024, 16:16:30","00:06:36"
530542,1.55555555555556,23,"female",45,"03/06/2024, 17:56:18","00:08:35"
532002,2.77777777777778,25,"male",42,"04/06/2024, 18:12:24","00:06:52"
534436,3,20,"female",45,"06/06/2024, 11:22:24","00:04:19"
534441,2.11111111111111,23,"female",41,"06/06/2024, 11:23:12","00:17:25"
534448,1.77777777777778,24,"male",42,"06/06/2024, 11:25:07","00:04:57"
534453,2.44444444444444,27,"female",50,"06/06/2024, 11:29:04","00:04:38"
534457,2.77777777777778,22,"female",45,"06/06/2024, 11:31:41","00:05:21"
534466,1.77777777777778,21,"diverse",47,"06/06/2024, 11:37:57","00:05:56"
534483,1.55555555555556,24,"male",46,"06/06/2024, 11:42:43","02:07:16"
534591,2.33333333333333,21,"male",47,"06/06/2024, 12:41:09","00:05:51"
534616,3.22222222222222,18,"female",12,"06/06/2024, 12:52:59","00:04:29"
535461,1.66666666666667,27,"male",44,"07/06/2024, 09:15:44","00:06:42"
535520,1.66666666666667,28,"male",13,"07/06/2024, 10:33:57","00:08:51"
536202,1.88888888888889,36,"female",31,"08/06/2024, 11:39:08","00:05:44"
536203,1.88888888888889,22,"female",48,"08/06/2024, 11:39:27","00:04:26"
537806,1.77777777777778,60,"male",47,"11/06/2024, 15:41:36","00:10:01"
539012,2.55555555555556,23,"female",45,"12/06/2024, 23:40:40","00:04:43"
539764,3.55555555555556,26,"male",21,"13/06/2024, 22:03:56","00:04:33"
540122,1.44444444444444,23,"male",49,"14/06/2024, 15:07:12","00:05:33"
540214,2.77777777777778,23,"male",43,"14/06/2024, 16:49:09","00:04:33"
540531,2.44444444444444,21,"male",47,"15/06/2024, 10:41:17","01:01:41"
540532,2.33333333333333,22,"female",46,"15/06/2024, 10:42:42","00:58:15"
540533,2,25,"female",50,"15/06/2024, 10:43:22","01:00:33"
540541,3.33333333333333,21,"male",41,"15/06/2024, 10:49:08","03:02:29"
540569,1.77777777777778,27,"female",44,"15/06/2024, 11:49:06","00:56:04"
540629,2,23,"female",42,"15/06/2024, 14:44:46","00:05:16"
540701,2.77777777777778,25,"female",46,"15/06/2024, 17:05:26","00:03:55"
540841,3.33333333333333,22,"female",42,"16/06/2024, 09:23:26","00:04:57"
540935,1.66666666666667,28,"male",34,"16/06/2024, 15:16:09","00:04:54"
540990,2.33333333333333,23,"male",49,"16/06/2024, 16:57:57","00:04:34"
540993,2.44444444444444,20,"female",48,"16/06/2024, 16:59:05","00:06:09"
541050,2.77777777777778,19,"female",48,"16/06/2024, 18:53:57","00:07:39"
541059,2.22222222222222,21,"male",40,"16/06/2024, 19:23:16","00:10:07"
541089,2.11111111111111,24,"female",42,"16/06/2024, 21:34:59","00:03:51"
541213,2.77777777777778,24,"female",10,"17/06/2024, 08:29:20","00:04:45"
541742,1.55555555555556,19,"male",43,"17/06/2024, 14:29:26","00:04:38"
541861,2.88888888888889,23,"female",40,"17/06/2024, 17:32:06","00:04:40"
542304,3,24,"female",43,"18/06/2024, 09:41:20","00:04:15"
542338,2.33333333333333,25,"female",49,"18/06/2024, 10:37:42","00:04:49"
542559,3.55555555555556,24,"female",43,"18/06/2024, 15:48:07","01:09:02"
542570,2.44444444444444,24,"female",46,"18/06/2024, 16:19:10","00:04:45"
542593,2.22222222222222,24,"male",48,"18/06/2024, 17:00:34","01:29:59"
542595,1.88888888888889,24,"female",46,"18/06/2024, 17:15:48","01:13:45"
542654,2.55555555555556,22,"male",43,"18/06/2024, 19:13:47","00:03:39"
542709,3.44444444444444,21,"female",47,"18/06/2024, 21:24:43","00:04:08"
542736,2.66666666666667,27,"female",42,"18/06/2024, 22:13:21","00:05:27"
542747,2.77777777777778,24,"female",38,"18/06/2024, 22:54:53","00:13:33"
542754,4,44,"female",15,"18/06/2024, 23:28:44","00:04:33"
542920,1.88888888888889,26,"female",48,NA,NA
