"Result ID","Start time","Last seen","Duration","Batch","Type","State","Message"
"527026","29/05/2024, 13:12:40","29/05/2024, 13:12:42","00:01:09","Default","Jatos","FINISHED","none"
"527062","29/05/2024, 14:29:37","29/05/2024, 14:33:40","00:05:52","Default","General Single","FINISHED","none"
"527063","29/05/2024, 14:35:16","29/05/2024, 14:39:20","00:04:32","Default","General Single","FINISHED","none"
"527742","30/05/2024, 11:44:04","30/05/2024, 11:46:05","00:03:51","Default","General Single","FINISHED","none"
"537806","11/06/2024, 15:41:36","11/06/2024, 15:50:15","00:10:01","Default","General Single","FINISHED","none"
"541089","16/06/2024, 21:34:59","16/06/2024, 21:37:02","00:03:51","Default","General Single","FINISHED","none"
"542709","18/06/2024, 21:24:43","18/06/2024, 21:28:44","00:04:08","Default","General Single","FINISHED","none"
"543058","19/06/2024, 13:39:16","19/06/2024, 13:41:17","00:03:11","Default","General Single","FINISHED","none"
"543675","20/06/2024, 10:12:18","20/06/2024, 10:14:20","00:03:47","Default","General Single","FINISHED","none"
"547578","25/06/2024, 14:33:38","25/06/2024, 14:39:40","00:06:23","Default","General Single","FINISHED","none"
"548126","26/06/2024, 13:43:46","26/06/2024, 13:47:48","00:04:22","Default","General Single","FINISHED","none"
"548162","26/06/2024, 14:38:29","26/06/2024, 14:44:36","00:06:11","Default","General Single","FINISHED","none"
"548165","26/06/2024, 14:44:49","26/06/2024, 14:48:51","00:04:20","Default","General Single","FINISHED","none"
"549062","27/06/2024, 16:08:03","27/06/2024, 16:10:03","00:03:56","Default","General Single","FINISHED","none"
"549216","27/06/2024, 18:21:45","27/06/2024, 18:25:45","00:04:01","Default","General Single","FINISHED","none"
"549509","28/06/2024, 07:17:01","28/06/2024, 07:21:16","00:04:48","Default","General Single","FINISHED","none"
"549944","29/06/2024, 17:11:54","29/06/2024, 17:18:03","00:06:09","Default","General Single","FINISHED","none"
"550009","29/06/2024, 22:19:57","29/06/2024, 22:25:58","00:06:21","Default","General Single","FINISHED","none"
"551161","02/07/2024, 11:03:04","02/07/2024, 11:05:05","00:03:56","Default","General Single","FINISHED","none"
"555067","07/07/2024, 17:15:06","07/07/2024, 17:23:07","00:08:04","Default","General Single","FINISHED","none"
